MFile 1 7 960 
MTrk    
0 Tempo 100000  
TrkEnd    
MTrk    
0 PrCh ch=6 p=53 
0 Meta TrkName "ATAC" 
77522 Off ch=1 n=3 v=0
95740 On ch=1 n=32 v=100
96173 On ch=1 n=49 v=100
96490 On ch=1 n=6 v=100
96490 Off ch=1 n=32 v=0
96531 Off ch=1 n=49 v=0
96629 Off ch=1 n=6 v=0
96642 On ch=1 n=27 v=100
97256 Off ch=1 n=27 v=0
97767 On ch=1 n=38 v=100
98976 Off ch=1 n=38 v=0
99816 On ch=1 n=43 v=100
100160 On ch=1 n=37 v=100
101476 Off ch=1 n=43 v=0
101479 Off ch=1 n=37 v=0
101811 On ch=1 n=7 v=100
102024 On ch=1 n=6 v=100
102024 Off ch=1 n=7 v=0
102787 Off ch=1 n=6 v=0
103277 On ch=1 n=13 v=100
104025 Off ch=1 n=13 v=0
118155 On ch=1 n=28 v=100
118457 Off ch=1 n=28 v=0
119152 On ch=1 n=10 v=100
119583 Off ch=1 n=10 v=0
120630 On ch=1 n=8 v=100
120925 Off ch=1 n=8 v=0
124970 On ch=1 n=13 v=100
125079 Off ch=1 n=13 v=0
125167 On ch=1 n=41 v=100
125355 Off ch=1 n=41 v=0
128690 On ch=1 n=15 v=100
128785 Off ch=1 n=15 v=0
129011 On ch=1 n=11 v=100
129104 Off ch=1 n=11 v=0
129387 On ch=1 n=32 v=100
129457 Off ch=1 n=32 v=0
129762 On ch=1 n=24 v=100
129823 Off ch=1 n=24 v=0
135843 On ch=1 n=15 v=100
135911 Off ch=1 n=15 v=0
138926 On ch=1 n=5 v=100
140473 Off ch=1 n=5 v=0
151724 On ch=1 n=5 v=100
152037 On ch=1 n=6 v=100
152037 Off ch=1 n=5 v=0
152068 Off ch=1 n=6 v=0
153121 On ch=1 n=5 v=100
153763 Off ch=1 n=5 v=0
156217 On ch=1 n=9 v=100
156364 Off ch=1 n=9 v=0
156589 On ch=1 n=15 v=100
156841 Off ch=1 n=15 v=0
162983 On ch=1 n=30 v=100
163049 Off ch=1 n=30 v=0
163421 On ch=1 n=11 v=100
163520 Off ch=1 n=11 v=0
163969 On ch=1 n=10 v=100
164511 Off ch=1 n=10 v=0
164915 On ch=1 n=32 v=100
164998 Off ch=1 n=32 v=0
165951 On ch=1 n=23 v=100
166061 On ch=1 n=8 v=100
166066 Off ch=1 n=23 v=0
166306 On ch=1 n=5 v=100
166312 Off ch=1 n=8 v=0
166426 Off ch=1 n=5 v=0
167904 On ch=1 n=48 v=100
167926 On ch=1 n=56 v=100
168454 Off ch=1 n=56 v=0
168670 Off ch=1 n=48 v=0
168955 On ch=1 n=35 v=100
168971 On ch=1 n=41 v=100
168974 On ch=1 n=47 v=100
168980 On ch=1 n=48 v=100
169046 Off ch=1 n=35 v=0
169095 Off ch=1 n=41 v=0
169155 Off ch=1 n=47 v=0
169196 Off ch=1 n=48 v=0
170530 On ch=1 n=13 v=100
170611 Off ch=1 n=13 v=0
172111 On ch=1 n=17 v=100
172573 Off ch=1 n=17 v=0
173493 On ch=1 n=16 v=100
174075 On ch=1 n=18 v=100
174083 Off ch=1 n=16 v=0
174145 Off ch=1 n=18 v=0
174374 On ch=1 n=2 v=100
176555 Off ch=1 n=2 v=0
178981 On ch=1 n=9 v=100
179877 Off ch=1 n=9 v=0
180768 On ch=1 n=20 v=100
180969 Off ch=1 n=20 v=0
181029 On ch=1 n=11 v=100
181245 Off ch=1 n=11 v=0
181603 On ch=1 n=7 v=100
182585 Off ch=1 n=7 v=0
183444 On ch=1 n=20 v=100
183607 Off ch=1 n=20 v=0
191916 On ch=1 n=21 v=100
191963 Off ch=1 n=21 v=0
193811 On ch=1 n=12 v=100
193916 Off ch=1 n=12 v=0
198770 On ch=1 n=10 v=100
198866 On ch=1 n=11 v=100
198890 Off ch=1 n=10 v=0
199130 Off ch=1 n=11 v=0
199137 On ch=1 n=17 v=100
199233 Off ch=1 n=17 v=0
199285 On ch=1 n=32 v=100
199450 Off ch=1 n=32 v=0
211831 On ch=1 n=13 v=100
211904 Off ch=1 n=13 v=0
214142 On ch=1 n=27 v=100
214281 Off ch=1 n=27 v=0
214494 On ch=1 n=12 v=100
214608 Off ch=1 n=12 v=0
215109 On ch=1 n=23 v=100
215245 Off ch=1 n=23 v=0
215529 On ch=1 n=5 v=100
215585 Off ch=1 n=5 v=0
215814 On ch=1 n=6 v=100
215874 Off ch=1 n=6 v=0
218774 On ch=1 n=2 v=100
218814 Off ch=1 n=2 v=0
221589 On ch=1 n=11 v=100
221660 Off ch=1 n=11 v=0
222477 On ch=1 n=17 v=100
222543 Off ch=1 n=17 v=0
222586 On ch=1 n=10 v=100
222668 Off ch=1 n=10 v=0
223509 On ch=1 n=36 v=100
223592 Off ch=1 n=36 v=0
223597 On ch=1 n=7 v=100
223871 On ch=1 n=45 v=100
223872 Off ch=1 n=7 v=0
225482 Off ch=1 n=45 v=0
226421 On ch=1 n=31 v=100
226466 Off ch=1 n=31 v=0
228718 On ch=1 n=3 v=100
233067 Off ch=1 n=3 v=0
247210 On ch=1 n=6 v=100
247470 Off ch=1 n=6 v=0
255031 On ch=1 n=4 v=100
255080 Off ch=1 n=4 v=0
263916 On ch=1 n=4 v=100
264236 Off ch=1 n=4 v=0
308444 On ch=1 n=6 v=100
309063 Off ch=1 n=6 v=0
317285 On ch=1 n=29 v=100
317352 Off ch=1 n=29 v=0
317667 On ch=1 n=39 v=100
317746 Off ch=1 n=39 v=0
318561 On ch=1 n=19 v=100
318690 Off ch=1 n=19 v=0
319273 On ch=1 n=34 v=100
319357 Off ch=1 n=34 v=0
337627 On ch=1 n=38 v=100
337691 Off ch=1 n=38 v=0
342833 On ch=1 n=8 v=100
342986 Off ch=1 n=8 v=0
342987 On ch=1 n=10 v=100
343160 On ch=1 n=5 v=100
343160 Off ch=1 n=10 v=0
343360 Off ch=1 n=5 v=0
359658 On ch=1 n=9 v=100
359711 Off ch=1 n=9 v=0
368394 On ch=1 n=41 v=100
368431 On ch=1 n=39 v=100
368627 Off ch=1 n=41 v=0
368769 Off ch=1 n=39 v=0
370161 On ch=1 n=2 v=100
372774 Off ch=1 n=2 v=0
386086 On ch=1 n=43 v=100
386661 Off ch=1 n=43 v=0
462288 On ch=1 n=13 v=100
462805 Off ch=1 n=13 v=0
462815 On ch=1 n=8 v=100
462912 Off ch=1 n=8 v=0
503922 On ch=1 n=2 v=100
505069 On ch=1 n=7 v=100
505070 Off ch=1 n=2 v=0
505175 Off ch=1 n=7 v=0
505176 On ch=1 n=13 v=100
505394 Off ch=1 n=13 v=0
508136 On ch=1 n=42 v=100
508609 Off ch=1 n=42 v=0
510252 On ch=1 n=46 v=100
510583 Off ch=1 n=46 v=0
512183 On ch=1 n=48 v=100
514787 Off ch=1 n=48 v=0
514923 On ch=1 n=48 v=100
515396 Off ch=1 n=48 v=0
535803 On ch=1 n=8 v=100
537322 On ch=1 n=6 v=100
537322 Off ch=1 n=8 v=0
539026 Off ch=1 n=6 v=0
561704 On ch=1 n=23 v=100
561771 Off ch=1 n=23 v=0
563708 On ch=1 n=8 v=100
563846 On ch=1 n=17 v=100
563846 Off ch=1 n=8 v=0
563902 Off ch=1 n=17 v=0
563915 On ch=1 n=11 v=100
564085 On ch=1 n=8 v=100
564116 Off ch=1 n=11 v=0
564221 Off ch=1 n=8 v=0
564222 On ch=1 n=6 v=100
564504 On ch=1 n=13 v=100
564517 Off ch=1 n=6 v=0
564708 Off ch=1 n=13 v=0
564720 On ch=1 n=10 v=100
565155 On ch=1 n=11 v=100
565160 Off ch=1 n=10 v=0
565339 Off ch=1 n=11 v=0
565352 On ch=1 n=7 v=100
565781 On ch=1 n=10 v=100
565869 Off ch=1 n=7 v=0
565967 Off ch=1 n=10 v=0
565978 On ch=1 n=9 v=100
566404 On ch=1 n=14 v=100
566466 Off ch=1 n=9 v=0
566606 Off ch=1 n=14 v=0
566618 On ch=1 n=8 v=100
567040 On ch=1 n=12 v=100
567058 Off ch=1 n=8 v=0
567236 Off ch=1 n=12 v=0
567248 On ch=1 n=7 v=100
567670 On ch=1 n=11 v=100
567744 Off ch=1 n=7 v=0
567874 Off ch=1 n=11 v=0
567886 On ch=1 n=8 v=100
568226 Off ch=1 n=8 v=0
568759 On ch=1 n=4 v=100
568803 Off ch=1 n=4 v=0
571023 On ch=1 n=2 v=100
576539 Off ch=1 n=2 v=0
576626 On ch=1 n=21 v=100
576872 On ch=1 n=1 v=100
577250 Off ch=1 n=21 v=0
582417 Off ch=1 n=1 v=0
604133 On ch=1 n=6 v=100
604197 Off ch=1 n=6 v=0
605315 On ch=1 n=4 v=100
605629 Off ch=1 n=4 v=0
609165 On ch=1 n=3 v=100
609877 On ch=1 n=3 v=100
609879 Off ch=1 n=3 v=0
611059 Off ch=1 n=3 v=0
611085 On ch=1 n=6 v=100
611861 On ch=1 n=10 v=100
611866 Off ch=1 n=6 v=0
612047 Off ch=1 n=10 v=0
612954 On ch=1 n=37 v=100
613038 Off ch=1 n=37 v=0
618525 On ch=1 n=6 v=100
618646 On ch=1 n=51 v=100
618931 On ch=1 n=6 v=100
618936 Off ch=1 n=6 v=0
619404 Off ch=1 n=51 v=0
619405 Off ch=1 n=6 v=0
619409 On ch=1 n=12 v=100
620249 Off ch=1 n=12 v=0
620564 On ch=1 n=12 v=100
620608 On ch=1 n=51 v=100
620643 Off ch=1 n=12 v=0
620654 On ch=1 n=10 v=100
620683 On ch=1 n=59 v=100
620932 On ch=1 n=41 v=100
621025 Off ch=1 n=51 v=0
621028 Off ch=1 n=10 v=0
621124 Off ch=1 n=59 v=0
621154 Off ch=1 n=41 v=0
621429 On ch=1 n=10 v=100
621595 Off ch=1 n=10 v=0
621721 On ch=1 n=11 v=100
621982 Off ch=1 n=11 v=0
623801 On ch=1 n=5 v=100
626126 Off ch=1 n=5 v=0
626550 On ch=1 n=16 v=100
626658 Off ch=1 n=16 v=0
629106 On ch=1 n=13 v=100
629777 On ch=1 n=6 v=100
629777 Off ch=1 n=13 v=0
629847 Off ch=1 n=6 v=0
634376 On ch=1 n=13 v=100
634668 Off ch=1 n=13 v=0
636664 On ch=1 n=12 v=100
636793 Off ch=1 n=12 v=0
638856 On ch=1 n=31 v=100
639019 Off ch=1 n=31 v=0
645004 On ch=1 n=71 v=100
645218 Off ch=1 n=71 v=0
651206 On ch=1 n=43 v=100
651368 Off ch=1 n=43 v=0
655066 On ch=1 n=56 v=100
655066 On ch=1 n=56 v=100
655161 On ch=1 n=6 v=100
655301 Off ch=1 n=6 v=0
655744 Off ch=1 n=56 v=0
655744 Off ch=1 n=56 v=0
663372 On ch=1 n=13 v=100
663450 Off ch=1 n=13 v=0
TrkEnd    
MTrk    
0 PrCh ch=2 p=40 
0 Meta TrkName "SINE" 
4398 On ch=2 n=2 v=100
4988 Off ch=2 n=2 v=0
180004 On ch=2 n=46 v=100
180080 Off ch=2 n=46 v=0
180183 On ch=2 n=45 v=100
180261 Off ch=2 n=45 v=0
180608 On ch=2 n=18 v=100
180766 Off ch=2 n=18 v=0
183284 On ch=2 n=18 v=100
183442 Off ch=2 n=18 v=0
228067 On ch=2 n=51 v=100
228160 Off ch=2 n=51 v=0
337287 On ch=2 n=23 v=100
337350 Off ch=2 n=23 v=0
343704 On ch=2 n=6 v=100
344070 Off ch=2 n=6 v=0
616991 On ch=2 n=25 v=100
617193 Off ch=2 n=25 v=0
688402 On ch=2 n=4 v=100
688695 Off ch=2 n=4 v=0
688698 On ch=2 n=1 v=100
688783 Off ch=2 n=1 v=0
TrkEnd    
MTrk    
0 PrCh ch=3 p=42 
0 Meta TrkName "DNA" 
416 On ch=3 n=34 v=100
450 On ch=3 n=9 v=100
451 On ch=3 n=32 v=100
586 Off ch=3 n=34 v=0
586 Off ch=3 n=9 v=0
625 Off ch=3 n=32 v=0
722 On ch=3 n=4 v=100
1001 Off ch=3 n=4 v=0
1069 On ch=3 n=4 v=100
1572 Off ch=3 n=4 v=0
1625 On ch=3 n=35 v=100
1665 On ch=3 n=6 v=100
1808 Off ch=3 n=35 v=0
2135 On ch=3 n=7 v=100
2136 Off ch=3 n=6 v=0
2794 Off ch=3 n=7 v=0
4067 On ch=3 n=6 v=100
4312 Off ch=3 n=6 v=0
5711 On ch=3 n=13 v=100
5975 On ch=3 n=18 v=100
6002 Off ch=3 n=13 v=0
6004 On ch=3 n=7 v=100
6015 Off ch=3 n=18 v=0
6805 Off ch=3 n=7 v=0
6861 On ch=3 n=14 v=100
7080 On ch=3 n=28 v=100
7163 Off ch=3 n=14 v=0
7186 Off ch=3 n=28 v=0
7480 On ch=3 n=20 v=100
7783 On ch=3 n=17 v=100
7793 Off ch=3 n=20 v=0
7939 Off ch=3 n=17 v=0
8021 On ch=3 n=38 v=100
8149 Off ch=3 n=38 v=0
9192 On ch=3 n=43 v=100
9596 Off ch=3 n=43 v=0
11766 On ch=3 n=9 v=100
12642 Off ch=3 n=9 v=0
12933 On ch=3 n=11 v=100
13001 Off ch=3 n=11 v=0
13029 On ch=3 n=11 v=100
13029 On ch=3 n=22 v=100
13168 Off ch=3 n=11 v=0
13221 Off ch=3 n=22 v=0
13270 On ch=3 n=11 v=100
13343 Off ch=3 n=11 v=0
13345 On ch=3 n=8 v=100
13891 Off ch=3 n=8 v=0
13899 On ch=3 n=5 v=100
13899 On ch=3 n=23 v=100
14007 Off ch=3 n=5 v=0
14041 Off ch=3 n=23 v=0
14290 On ch=3 n=21 v=100
14376 On ch=3 n=21 v=100
14376 On ch=3 n=21 v=100
14402 On ch=3 n=7 v=100
14681 Off ch=3 n=21 v=0
14690 Off ch=3 n=7 v=0
14701 Off ch=3 n=21 v=0
14701 Off ch=3 n=21 v=0
15489 On ch=3 n=30 v=100
15589 Off ch=3 n=30 v=0
16573 On ch=3 n=22 v=100
16667 Off ch=3 n=22 v=0
16673 On ch=3 n=9 v=100
17296 Off ch=3 n=9 v=0
17340 On ch=3 n=19 v=100
17447 Off ch=3 n=19 v=0
17586 On ch=3 n=18 v=100
17677 Off ch=3 n=18 v=0
17706 On ch=3 n=4 v=100
18263 On ch=3 n=5 v=100
18283 Off ch=3 n=4 v=0
18450 Off ch=3 n=5 v=0
19422 On ch=3 n=11 v=100
19584 On ch=3 n=10 v=100
20246 Off ch=3 n=11 v=0
20246 Off ch=3 n=10 v=0
20271 On ch=3 n=7 v=100
21310 Off ch=3 n=7 v=0
22042 On ch=3 n=10 v=100
22263 On ch=3 n=12 v=100
22263 Off ch=3 n=10 v=0
22509 On ch=3 n=15 v=100
22511 Off ch=3 n=12 v=0
22620 On ch=3 n=18 v=100
22623 Off ch=3 n=15 v=0
22693 Off ch=3 n=18 v=0
23334 On ch=3 n=19 v=100
23361 On ch=3 n=7 v=100
23551 Off ch=3 n=7 v=0
23558 Off ch=3 n=19 v=0
24080 On ch=3 n=22 v=100
24141 Off ch=3 n=22 v=0
24740 On ch=3 n=8 v=100
24898 On ch=3 n=11 v=100
24959 Off ch=3 n=8 v=0
25405 On ch=3 n=39 v=100
25426 On ch=3 n=17 v=100
25448 Off ch=3 n=11 v=0
25449 Off ch=3 n=39 v=0
25449 Off ch=3 n=17 v=0
25516 On ch=3 n=17 v=100
25516 On ch=3 n=39 v=100
25516 On ch=3 n=9 v=100
25560 Off ch=3 n=17 v=0
25585 Off ch=3 n=39 v=0
26143 Off ch=3 n=9 v=0
26578 On ch=3 n=11 v=100
26606 Off ch=3 n=11 v=0
26608 On ch=3 n=8 v=100
26643 Off ch=3 n=8 v=0
26741 On ch=3 n=37 v=100
26797 Off ch=3 n=37 v=0
26904 On ch=3 n=30 v=100
26963 Off ch=3 n=30 v=0
30119 On ch=3 n=24 v=100
30283 Off ch=3 n=24 v=0
30350 On ch=3 n=28 v=100
30350 On ch=3 n=24 v=100
30724 Off ch=3 n=24 v=0
30875 Off ch=3 n=28 v=0
36223 On ch=3 n=43 v=100
36368 Off ch=3 n=43 v=0
36448 On ch=3 n=43 v=100
36572 On ch=3 n=36 v=100
36914 Off ch=3 n=43 v=0
37130 Off ch=3 n=36 v=0
37706 On ch=3 n=25 v=100
37720 On ch=3 n=41 v=100
38052 Off ch=3 n=25 v=0
38055 On ch=3 n=64 v=100
38055 On ch=3 n=64 v=100
38373 Off ch=3 n=41 v=0
38377 On ch=3 n=5 v=100
39090 Off ch=3 n=5 v=0
39091 On ch=3 n=7 v=100
39174 Off ch=3 n=64 v=0
39174 Off ch=3 n=64 v=0
39745 Off ch=3 n=7 v=0
39829 On ch=3 n=5 v=100
40060 Off ch=3 n=5 v=0
51125 On ch=3 n=57 v=100
51198 Off ch=3 n=57 v=0
52307 On ch=3 n=57 v=100
52307 On ch=3 n=52 v=100
52380 Off ch=3 n=57 v=0
52394 Off ch=3 n=52 v=0
58321 On ch=3 n=57 v=100
58321 On ch=3 n=49 v=100
58395 Off ch=3 n=57 v=0
58409 Off ch=3 n=49 v=0
60729 On ch=3 n=57 v=100
60729 On ch=3 n=52 v=100
60802 Off ch=3 n=57 v=0
60816 Off ch=3 n=52 v=0
62387 On ch=3 n=4 v=100
62757 Off ch=3 n=4 v=0
62909 On ch=3 n=4 v=100
63017 Off ch=3 n=4 v=0
65707 On ch=3 n=26 v=100
68393 Off ch=3 n=26 v=0
68573 On ch=3 n=10 v=100
69108 Off ch=3 n=10 v=0
69708 On ch=3 n=5 v=100
73381 Off ch=3 n=5 v=0
88456 On ch=3 n=58 v=100
88624 Off ch=3 n=58 v=0
88657 On ch=3 n=54 v=100
88657 On ch=3 n=54 v=100
88789 Off ch=3 n=54 v=0
88789 Off ch=3 n=54 v=0
88822 On ch=3 n=58 v=100
88857 On ch=3 n=48 v=100
88941 Off ch=3 n=48 v=0
88942 Off ch=3 n=58 v=0
89298 On ch=3 n=55 v=100
89298 On ch=3 n=55 v=100
89417 On ch=3 n=51 v=100
89417 On ch=3 n=51 v=100
89425 Off ch=3 n=55 v=0
89425 Off ch=3 n=55 v=0
89595 Off ch=3 n=51 v=0
89595 Off ch=3 n=51 v=0
89617 On ch=3 n=59 v=100
89744 Off ch=3 n=59 v=0
89934 On ch=3 n=57 v=100
89934 On ch=3 n=57 v=100
90055 On ch=3 n=67 v=100
90060 Off ch=3 n=57 v=0
90060 Off ch=3 n=57 v=0
90215 Off ch=3 n=67 v=0
90255 On ch=3 n=59 v=100
90255 On ch=3 n=59 v=100
90380 Off ch=3 n=59 v=0
90380 Off ch=3 n=59 v=0
90570 On ch=3 n=54 v=100
90570 On ch=3 n=54 v=100
90698 Off ch=3 n=54 v=0
90698 Off ch=3 n=54 v=0
90730 On ch=3 n=66 v=100
90730 On ch=3 n=66 v=100
90865 Off ch=3 n=66 v=0
90865 Off ch=3 n=66 v=0
90910 On ch=3 n=56 v=100
90924 On ch=3 n=45 v=100
91006 On ch=3 n=54 v=100
91010 Off ch=3 n=56 v=0
91017 Off ch=3 n=45 v=0
91160 Off ch=3 n=54 v=0
91207 On ch=3 n=59 v=100
91342 Off ch=3 n=59 v=0
91400 On ch=3 n=44 v=100
91480 Off ch=3 n=44 v=0
91688 On ch=3 n=58 v=100
91798 Off ch=3 n=58 v=0
92002 On ch=3 n=57 v=100
92002 On ch=3 n=57 v=100
92129 Off ch=3 n=57 v=0
92129 Off ch=3 n=57 v=0
92440 On ch=3 n=54 v=100
92440 On ch=3 n=54 v=100
92615 Off ch=3 n=54 v=0
92615 Off ch=3 n=54 v=0
92638 On ch=3 n=58 v=100
92765 Off ch=3 n=58 v=0
92794 On ch=3 n=57 v=100
92830 On ch=3 n=46 v=100
92916 On ch=3 n=58 v=100
92916 On ch=3 n=58 v=100
92916 Off ch=3 n=46 v=0
92923 Off ch=3 n=57 v=0
93093 Off ch=3 n=58 v=0
93093 Off ch=3 n=58 v=0
93274 On ch=3 n=59 v=100
93274 On ch=3 n=59 v=100
93309 On ch=3 n=46 v=100
93393 Off ch=3 n=46 v=0
93394 On ch=3 n=55 v=100
93394 On ch=3 n=55 v=100
93400 Off ch=3 n=59 v=0
93400 Off ch=3 n=59 v=0
93570 Off ch=3 n=55 v=0
93570 Off ch=3 n=55 v=0
94704 On ch=3 n=66 v=100
94824 Off ch=3 n=66 v=0
95078 On ch=3 n=3 v=100
95338 Off ch=3 n=3 v=0
98970 On ch=3 n=10 v=100
99155 On ch=3 n=7 v=100
99155 Off ch=3 n=10 v=0
99415 On ch=3 n=41 v=100
99484 On ch=3 n=38 v=100
99500 Off ch=3 n=7 v=0
99503 On ch=3 n=28 v=100
99503 On ch=3 n=6 v=100
99552 On ch=3 n=5 v=100
99552 On ch=3 n=14 v=100
99553 Off ch=3 n=41 v=0
99553 Off ch=3 n=6 v=0
99576 Off ch=3 n=28 v=0
99577 Off ch=3 n=38 v=0
99613 Off ch=3 n=5 v=0
99615 On ch=3 n=5 v=100
99629 Off ch=3 n=14 v=0
99803 Off ch=3 n=5 v=0
101781 On ch=3 n=62 v=100
101781 On ch=3 n=62 v=100
102079 Off ch=3 n=62 v=0
102079 Off ch=3 n=62 v=0
103024 On ch=3 n=12 v=100
103279 Off ch=3 n=12 v=0
105554 On ch=3 n=45 v=100
105623 On ch=3 n=24 v=100
105752 Off ch=3 n=45 v=0
105762 On ch=3 n=34 v=100
105786 On ch=3 n=26 v=100
105889 Off ch=3 n=34 v=0
105908 Off ch=3 n=26 v=0
105915 Off ch=3 n=24 v=0
105925 On ch=3 n=19 v=100
106161 Off ch=3 n=19 v=0
106786 On ch=3 n=8 v=100
